id,name,definition
13627,INV_VAL_FIFO_BGN,"Inventories by Valuation Method, First-in, First-Out (FIFO), Beginning of Year"
13629,INV_VAL_FIFO_END,"Inventories by Valuation Method, First-in, First-Out (FIFO), End of Year"
13632,INV_VAL_LIFO_BGN,"Inventories by Valuation Method, Last-in, First-Out (LIFO), Beginnng of Year"
13634,INV_VAL_LIFO_END,"Inventories by Valuation Method, Last-in, First-Out (LIFO), End of Year"
13638,INV_VAL_NLIFO_TOT_BGN,"Inventories by Valuation Method, Total Non-LIFO methods,  Beginning of Year"
13640,INV_VAL_NLIFO_TOT_END,"Inventories by Valuation Method, Total Non-LIFO methods,  End of Year"
13650,INV_VAL_STD_BGN,"Inventories by Valuation Method, Standard Cost, Beginning of Year"
13652,INV_VAL_STD_END,"Inventories by Valuation Method, Standard Cost, End of Year"
20406,PAY_ANN_OTHWRK_M_PY,Annual Payroll for Other Manufacturing Employees  prior Year
20408,PAY_ANN_PRDWRK_PY,Annual Payroll for Production Workers Prior Year
20412,PAY_ANN_PY,Annual Payroll   Prior Year
31020,PAY_QTR1_OTHWRK_M,"First Quarter Payroll,Other Manufacturing Employees"
31016,PAY_QTR1_PRDWRK,First Quarter Payroll
14258,PAY_QTR1_PY,First Quarter Payroll   Prior Year
31017,PAY_QTR2_PRDWRK,First Quarter Payroll
31018,PAY_QTR3_PRDWRK,First Quarter Payroll
31019,PAY_QTR4_PRDWRK,First Quarter Payroll
20294,PRCH_ADVERT_PY,Purchased advertisments  prior year
20298,PRCH_COMMSVC_PY,Purchased communication services   Prior Year
20300,PRCH_COMPUTER_OTHEQ_PY,Expensed computer hardware and other equipment   Prior Year
20301,PRCH_DATAPROC_PY,Data processing and other purchased computer services   Prior Year
20303,PRCH_EXSOFT_PY,"Purchased prepackaged, custom-coded or vendor-customized software   Prior Year"
20306,PRCH_OTHEXPS_PY,"All other purchased services, Prior year"
20308,PRCH_PROFTECH_PY,Purchased professional and technical services   Prior Year
20310,PRCH_REFUSE_PY,"Water, sewer, refuse removal, and other non-electric utility payments   Prior Year"
20314,PRCH_REPAIR_PY,Purchased repairs and maintenance to buildings and/or machinery and equipment  Prior Year
20316,PRCH_TAX_PY,Governmental taxes and licensing fees   Prior Year
20318,PRCH_TEMPSTAF_PY,Purchased services for temporary staff and leased employees  (Professional Employer Organizations and staffing agencies for personnel)  Prior Year
20320,PRCH_TOT_PY,Total Purchased Services Prior Year
13604,ROBOT_ACTIVE,Number of industrial robots IN OPERATION at this plant
13606,ROBOT_ACTIVE_PY,Number of industrial robots IN OPERATION for this plant  Prior Year
13607,ROBOT_ACTIVE_WRTIN,Number of industrial robots IN OPERATION at this plant write-in description
13574,ROBOT_CAPEX,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs"
13576,ROBOT_CAPEX_PY,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs  Prior Year"
14147,ROBOT_PURCHASE,Number of industrial robots PURCHASED for this plant
14149,ROBOT_PURCHASE_PY,Number of industrial robots PURCHASED for this plant  Prior Year
14150,ROBOT_PURCHASE_WRTIN,Number of industrial robots PURCHASED for this plant write-in description
88055,ACTV_MIO,Active months in operation
59556,ADD_DATE_OPEN,"Added establishment,  date opened or is expected to open"
88063,ADD_MAJOR_ACT_CODE,"Added establishment,  Major activity code"
88082,ADD_SELFDSG_WRTIN,"Added establishment,  principal business or activity write-in description"
88066,ADDR_CITY,Mailing Address City
88073,ADDR_ST,Mailing Address State
88074,ADDR_STREET,Mailing Address Street
59615,ADDR_ZIP,Mailing Address ZIP Code
59785,AFFIL_CONTROL,Does another domestic company have the power to control the management and policies of your company?
59793,AFFIL_CONTROL_NO,Does another domestic company have the power to control the management and policies of your company?
59801,AFFIL_CONTROL_NO_ARCHIVE,Does another domestic company have the power to control the management and policies of your company?
59810,AFFIL_CONTROL_YES,Does another domestic company have the power to control the management and policies of your company?
59818,AFFIL_CONTROL_YES_ARCHIVE,Does another domestic company have the power to control the management and policies of your company?
13952,AFFIL_FOR_ADDR_CITY,"City of the foreign entity (company, individual, government, etc.)"
13953,AFFIL_FOR_ADDR_CNTRY,"Country of the foreign entity (company, individual, government, etc.)"
13951,AFFIL_FOR_ADDR_STREET,"Street Address of the foreign entity (company, individual, government, etc.)"
13954,AFFIL_FOR_GE10,"Does a foreign entity (company, individual, government, etc.) own directly or indirectly 10 percent or more of the voting stock or other equity rights of your company?"
56018,AFFIL_FOR_GE10_NO,"Does a foreign entity (company, individual, government, etc.) own directly or indirectly 10 percent or more of the voting stock or other equity rights of your company?"
59833,AFFIL_FOR_GE10_NO_ARCHIVE,"Does a foreign entity (company, individual, government, etc.) own directly or indirectly 10 percent or more of the voting stock or other equity rights of your company?"
56016,AFFIL_FOR_GE10_YES,"Does a foreign entity (company, individual, government, etc.) own directly or indirectly 10 percent or more of the voting stock or other equity rights of your company?"
59836,AFFIL_FOR_GE10_YES_ARCHIVE,"Does a foreign entity (company, individual, government, etc.) own directly or indirectly 10 percent or more of the voting stock or other equity rights of your company?"
13950,AFFIL_FOR_NAME,"Name of the foreign entity (company, individual, government, etc.)"
13956,AFFIL_FOR_STOCK,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
56078,AFFIL_FOR_STOCK_10TO24,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
59842,AFFIL_FOR_STOCK_10TO24_ARCHIVE,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
56079,AFFIL_FOR_STOCK_25TO49,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
59844,AFFIL_FOR_STOCK_25TO49_ARCHIVE,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
56083,AFFIL_FOR_STOCK_51TO99,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
59846,AFFIL_FOR_STOCK_51TO99_ARCHIVE,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
56081,AFFIL_FOR_STOCK_EQ100,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
59848,AFFIL_FOR_STOCK_EQ100_ARCHIVE,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
56082,AFFIL_FOR_STOCK_EQ50,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
59850,AFFIL_FOR_STOCK_EQ50_ARCHIVE,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
13955,AFFIL_FORSTOCK_GE10,"Does this company alone, or with its domestic affiliates, own 10 percent or more of the voting stock of an incorporated foreign business enterprise, or an equivalent interest in an unincorporated business enterprise, including ownership of real estate?"
56064,AFFIL_FORSTOCK_GE10_NO,"Does this company alone, or with its domestic affiliates, own 10 percent or more of the voting stock of an incorporated foreign business enterprise, or an equivalent interest in an unincorporated business enterprise, including ownership of real estate?"
59853,AFFIL_FORSTOCK_GE10_NO_ARCHIVE,"Does this company alone, or with its domestic affiliates, own 10 percent or more of the voting stock of an incorporated foreign business enterprise, or an equivalent interest in an unincorporated business enterprise, including ownership of real estate?"
56063,AFFIL_FORSTOCK_GE10_YES,"Does this company alone, or with its domestic affiliates, own 10 percent or more of the voting stock of an incorporated foreign business enterprise, or an equivalent interest in an unincorporated business enterprise, including ownership of real estate?"
59856,AFFIL_FORSTOCK_GE10_YES_ARCHIVE,"Does this company alone, or with its domestic affiliates, own 10 percent or more of the voting stock of an incorporated foreign business enterprise, or an equivalent interest in an unincorporated business enterprise, including ownership of real estate?"
88124,AFFIL_OWNER_ADDR_CITY,"City, town, village, etc. of the owning or controlling company"
59867,AFFIL_OWNER_ADDR_ST,State of the owning or controlling company
59875,AFFIL_OWNER_ADDR_STREET,Street Address of the owning or controlling company
59885,AFFIL_OWNER_ADDR_ZIP,ZIP code of the owning or controlling company
59895,AFFIL_OWNER_EIN,Employer Identification Number of the owning or controlling company
59904,AFFIL_OWNER_GT50,Does another domestic company own more than 50% of the voting stock of your company?
59912,AFFIL_OWNER_GT50_NO,Does another domestic company own more than 50% of the voting stock of your company?
59920,AFFIL_OWNER_GT50_NO_ARCHIVE,Does another domestic company own more than 50% of the voting stock of your company?
59929,AFFIL_OWNER_GT50_YES,Does another domestic company own more than 50% of the voting stock of your company?
59937,AFFIL_OWNER_GT50_YES_ARCHIVE,Does another domestic company own more than 50% of the voting stock of your company?
88146,AFFIL_OWNER_NAME,Name of the owning or controlling company
59955,AFFIL_OWNER_STOCK,What percent of voting stock was held by the owning or controlling company?
59963,AFFIL_OWNER_STOCK_EQ50,What percent of voting stock was held by the owning or controlling company?
59971,AFFIL_OWNER_STOCK_EQ50_ARCHIVE,What percent of voting stock was held by the owning or controlling company?
59979,AFFIL_OWNER_STOCK_GT50,What percent of voting stock was held by the owning or controlling company?
59987,AFFIL_OWNER_STOCK_GT50_ARCHIVE,What percent of voting stock was held by the owning or controlling company?
59995,AFFIL_OWNER_STOCK_LT50,What percent of voting stock was held by the owning or controlling company?
60003,AFFIL_OWNER_STOCK_LT50_ARCHIVE,What percent of voting stock was held by the owning or controlling company?
88157,AFFIL_SPL_ESTAB,Number of affiliated locations (child establishments) with the same EIN
60033,AFFIL_SPL_OWN_DOM,Is the company owned or controlled by another domestic company?
60041,AFFIL_SPL_OWN_DOM_NO,Is the company owned or controlled by another domestic company?
60049,AFFIL_SPL_OWN_DOM_NO_ARCHIVE,Is the company owned or controlled by another domestic company?
60057,AFFIL_SPL_OWN_DOM_YES,Is the company owned or controlled by another domestic company?
60065,AFFIL_SPL_OWN_DOM_YES_ARCHIVE,Is the company owned or controlled by another domestic company?
88536,BUS_TECH_ADD_MFG_OTH_WRTIN,"Others, describe:"
61195,BUS_TECH_GUD_VEH_OTH_WRTIN,"Others, describe:"
61280,BUS_TECH_IND_ROB_OTH_WRTIN,"Others, describe:"
61365,BUS_TECH_RFID_OTH_WRTIN,"Others, describe:"
61450,BUS_TECH_SER_ROB_OTH_WRTIN,"Others, describe:"
61535,BUS_TECH_TOUCH_OTH_WRTIN,"Others, describe:"
61807,CENSUS_REMARKS,Explanations in understanding the reported data
14100,CERT_CALYEAR,"Certification, Is the time period covered by this report a calendar year?"
61823,CERT_CALYEAR_NO,"Certification, Is the time period covered by this report a calendar year?"
61825,CERT_CALYEAR_NO_ARCHIVE,"Certification, Is the time period covered by this report a calendar year?"
61826,CERT_CALYEAR_YES,"Certification, Is the time period covered by this report a calendar year?"
61828,CERT_CALYEAR_YES_ARCHIVE,"Certification, Is the time period covered by this report a calendar year?"
88705,CERT_DATE_COMPLETED,"Certification, Calendar date survey was completed"
61832,CERT_DATE_FROM_MONTH,"Certification, Month covered by this report (from)"
88706,CERT_DATE_FROM_YEAR,"Certification,  Year covered by this report (from)"
61836,CERT_DATE_TO_MONTH,"Certification,  Month covered by this report (to)"
61838,CERT_DATE_TO_YEAR,"Certification,  Year covered by this report (to)"
88709,CERT_EMAIL,"Certification,  Email address"
61844,CERT_FAX,"Certification,  Fax Number"
61846,CERT_NAME,"Certification, :Name of person to contact about the survey"
61849,CERT_PHONE,"Certification,  Phone Number"
88712,CERT_TITLE,"Certification,  Title of person to contact"
31036,CHILD_FORM_MAILED,Child Form Mailed
62974,COOPERATIVE,Is this company a cooperative?
62981,COOPERATIVE_NO,Is this company a cooperative?
62988,COOPERATIVE_NO_ARCHIVE,Is this company a cooperative?
62996,COOPERATIVE_YES,Is this company a cooperative?
63003,COOPERATIVE_YES_ARCHIVE,Is this company a cooperative?
90203,EIN_NUM,Employer Identification Number
65703,EIN_STAT,Is the Employer Identification Number correct?
65711,EIN_STAT_NO,Is the Employer Identification Number correct?
65719,EIN_STAT_NO_ARCHIVE,Is the Employer Identification Number correct?
65727,EIN_STAT_YES,Is the Employer Identification Number correct?
65735,EIN_STAT_YES_ARCHIVE,Is the Employer Identification Number correct?
65791,ELECTRONIC_BATCHID,The electronic batch identification for the file
90252,EMP_MAR12,Total Employment
31024,EMP_MAR12_PY,"First  Quarter Employment,  Prior Year"
31034,FORM_MAILED,Instrument initially assigned to the respondent to complete for the location.
91478,INV_FINISHED_BGN,"Inventories, Finished Goods,  Beginning of Year"
70181,INV_FINISHED_END,"Inventories, Finished Goods,  End of Year"
70204,INV_MAT_BGN,"Inventories, Materials, supplies, fuels, etc., Beginning of Year"
91493,INV_MAT_END,"Inventories, Materials, supplies, fuels, etc., End of Year"
70245,INV_TOT_BGN,"Inventories, Total,  Beginning of Year"
70250,INV_TOT_END,"Inventories, Total,  End of Year"
91521,INV_WRKPROC_BGN,"Inventories, Work-in-process, Beginning of Year"
70297,INV_WRKPROC_END,"Inventories, Work-in-process, End of Year"
13702,LSD_50,Did your company lease 50 percent or more of its permanent full-and part-time workforce from a Professional Employer Organization?
56053,LSD_50_NO,Did your company lease 50 percent or more of its permanent full-and part-time workforce from a Professional Employer Organization?
71636,LSD_50_NO_ARCHIVE,Did your company lease 50 percent or more of its permanent full-and part-time workforce from a Professional Employer Organization?
56055,LSD_50_YES,Did your company lease 50 percent or more of its permanent full-and part-time workforce from a Professional Employer Organization?
71639,LSD_50_YES_ARCHIVE,Did your company lease 50 percent or more of its permanent full-and part-time workforce from a Professional Employer Organization?
92084,MAJOR_ACT,Major Activity of a Pre-Identified Location for COS and ARUs
31360,NAICS_WRTIN_779000001,Write-in description that corresponds to the 779000001 radio button selection
73473,OPSTAT,"Operational Status, What is this establishment's operation status?"
73481,OPSTAT_ACTIVE,"Operational Status, What is this establishment's operation status?"
73489,OPSTAT_ACTIVE_ARCHIVE,"Operational Status, What is this establishment's operation status?"
92572,OPSTAT_ADDR_CITY,"Operational Status,  New owner/operator,  City, town, village, etc."
92573,OPSTAT_ADDR_STATE,"Operational Status,  New owner/operator,  State"
92575,OPSTAT_ADDR_STREET,"Operational Status,  New owner/operator,  Street Address"
92578,OPSTAT_ADDR_ZIP,"Operational Status,  New owner/operator,  ZIP Code"
73509,OPSTAT_CEASED,"Operational Status, What is this establishment's operation status?"
73517,OPSTAT_CEASED_ARCHIVE,"Operational Status, What is this establishment's operation status?"
73526,OPSTAT_DATE,"Operational Status,  Ceased/Sold Operation Date"
73528,OPSTAT_EIN,"Operational Status,  New owner/operator,  Employer Identification Number"
92582,OPSTAT_NAME,"Operational Status,  New owner/operator,  Name"
73537,OPSTAT_OTH,"Operational Status, What is this establishment's operation status?"
73545,OPSTAT_OTH_ARCHIVE,"Operational Status, What is this establishment's operation status?"
73556,OPSTAT_SEASON,"Operational Status, What is this establishment's operation status?"
73564,OPSTAT_SEASON_ARCHIVE,"Operational Status, What is this establishment's operation status?"
73572,OPSTAT_SOLD,"Operational Status, What is this establishment's operation status?"
73580,OPSTAT_SOLD_ARCHIVE,"Operational Status, What is this establishment's operation status?"
73592,OPSTAT_TEMP,"Operational Status, What is this establishment's operation status?"
73600,OPSTAT_TEMP_ARCHIVE,"Operational Status, What is this establishment's operation status?"
92585,OPSTAT_WRTIN,"Operational Status,  Write-in description"
93535,PAY_ANN,Annual Payroll Total
93565,PAY_QTR1,First Quarter Payroll
31031,PAY_QTR1_OTHWRK_M_PY,Prior Year First Quarter Payroll for Non-Production Workers
31030,PAY_QTR1_PRDWRK_PY,Prior Year First Quater Production Worker Payroll
31359,PBA_2021_ASM_10000_1,Final selected PBA code/variation for the respondent
77177,PHYSLOC_ADDR_CITY,Physical Location City
251079,PHYSLOC_ADDR_NO,"Physical Location,  Legal Boundaries of the city, town, village, etc."
251112,PHYSLOC_ADDR_NO_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
251080,PHYSLOC_ADDR_NOBOUND,"Physical Location,  Legal Boundaries of the city, town, village, etc."
251113,PHYSLOC_ADDR_NOBOUND_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
93992,PHYSLOC_ADDR_ST,Physical Location State
93994,PHYSLOC_ADDR_STREET,Physical Location Street Address
251081,PHYSLOC_ADDR_UNKNOWN,"Physical Location,  Legal Boundaries of the city, town, village, etc."
251114,PHYSLOC_ADDR_UNKNOWN_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
251082,PHYSLOC_ADDR_YES,"Physical Location,  Legal Boundaries of the city, town, village, etc."
251115,PHYSLOC_ADDR_YES_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
94000,PHYSLOC_ADDR_ZIP,Physical Location ZIP Code
13910,PHYSLOC_LGL,"Physical Location,  Legal Boundaries of the city, town, village, etc."
55990,PHYSLOC_LGL_NO,"Physical Location,  Legal Boundaries of the city, town, village, etc."
77224,PHYSLOC_LGL_NO_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
55994,PHYSLOC_LGL_NOBOUND,"Physical Location,  Legal Boundaries of the city, town, village, etc."
77226,PHYSLOC_LGL_NOBOUND_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
55992,PHYSLOC_LGL_UNKNOWN,"Physical Location,  Legal Boundaries of the city, town, village, etc."
77229,PHYSLOC_LGL_UNKNOWN_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
55991,PHYSLOC_LGL_YES,"Physical Location,  Legal Boundaries of the city, town, village, etc."
77231,PHYSLOC_LGL_YES_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
13913,PHYSLOC_MUNI,"Physical Location,  Municipality"
56024,PHYSLOC_MUNI_CITY,"Physical Location,  Municipality"
77234,PHYSLOC_MUNI_CITY_ARCHIVE,"Physical Location,  Municipality"
56026,PHYSLOC_MUNI_DNK,"Physical Location,  Municipality"
77236,PHYSLOC_MUNI_DNK_ARCHIVE,"Physical Location,  Municipality"
56027,PHYSLOC_MUNI_OTH,"Physical Location,  Municipality"
77238,PHYSLOC_MUNI_OTH_ARCHIVE,"Physical Location,  Municipality"
56028,PHYSLOC_MUNI_TOWN,"Physical Location,  Municipality"
77241,PHYSLOC_MUNI_TOWN_ARCHIVE,"Physical Location,  Municipality"
94928,PREV_OWNER_ADDR_CITY,City of Former Owner or operator
94930,PREV_OWNER_ADDR_ST,State of Former Owner or operator
94932,PREV_OWNER_ADDR_STREET,Street Address of Former Owner or operator
94934,PREV_OWNER_ADDR_ZIP,ZIP Code of Former Owner or operator
31353,PREV_OWNER_EIN,Previous Owner Employer Identifcation Number
94936,PREV_OWNER_MONTH,Month acquired from Former Owner or operator
94938,PREV_OWNER_RECORD_NAME,Name of former Owner or operator
79915,PREV_OWNER_YEAR,Year acquired from Former Owner or operator
14350,PROD_CLASS_CODE,NAPCS code that corresponds to the individual product
14351,PROD_CLASS_DESC,Description that corresponds to that NAPCS code being displayed (PROD_CLASS_CODE)
14352,PROD_CLASS_DESC_WRTIN,Description that corresponds to the 'other' product reported by the respondent
14666,PROD_CLASS_VAL,Currency amount associated with the PROD_CLASS_CODE
14667,PROD_CLASS_VAL_PY,Currency amount associated with the PROD_CLASS_CODE
95654,RCPT_ECOMM_TOT_PCT,"Percent of total sales, shipments, receipts, or revenue that were a result of e-commerce transactions"
14580,RCPT_ECOMM_TOT_PCT_PY,"Percent of total sales, shipments, receipts, or revenue that were a result of e-commerce transactions  Prior Year"
83264,RCPT_TOT,"Total Sales, Shipments, Receipts or Revenue"
14657,RCPT_TOT_PY,"Total Sales, Shipments, Receipts or Revenue  Prior Year"
31032,RCPT_UFO,Unfilled orders yes/no response
34442,RCPT_UFO_NO,Unfilled orders yes/no response
83291,RCPT_UFO_NO_ARCHIVE,Unfilled orders yes/no response
31033,RCPT_UFO_TOT,Value of Unfilled Orders
34441,RCPT_UFO_YES,Unfilled orders yes/no response
83297,RCPT_UFO_YES_ARCHIVE,Unfilled orders yes/no response
14229,RD_CHECK,Did your company perform or fund research and development?
55988,RD_CHECK_NO,Did your company perform or fund research and development?
83344,RD_CHECK_NO_ARCHIVE,Did your company perform or fund research and development?
55986,RD_CHECK_YES,Did your company perform or fund research and development?
83346,RD_CHECK_YES_ARCHIVE,Did your company perform or fund research and development?
14228,RD_VAL,Company's worldwide expenses for research and development
56000,RD_VAL_GE3MIL,Company's worldwide expenses for research and development
83351,RD_VAL_GE3MIL_ARCHIVE,Company's worldwide expenses for research and development
56001,RD_VAL_LT3MIL,Company's worldwide expenses for research and development
83353,RD_VAL_LT3MIL_ARCHIVE,Company's worldwide expenses for research and development
95761,RECORD_ATTN_TXT,The attention field/contact
83423,RECORD_CFN,The CFN (census file number) - Unique identifier used for downloading and uploading data
95768,RECORD_LINENUM,"The line number listed in the following sequence: Employer Identification Number (EIN), major activity, and geographic location"
95769,RECORD_NAICS,The updates needed on NAICS (North American Industry Classification System code)
95771,RECORD_NAME1,The updates to Name
83448,RECORD_NAME2,The secondary name
83458,RECORD_STORENUM,The store or plant number
83603,RENT_PAY_BUILD,Payments for Rental or lease of buildings and other structures
20454,RENT_PAY_BUILD_PY,Payments for Rental or lease of buildings and other structures  Prior Year
95832,RENT_PAY_MACH,Payments for Rental or lease of machinery and equipment
20458,RENT_PAY_MACH_PY,Payments for Rental or lease of machinery and equipment  Prior Year
95836,RENT_PAY_TOT,"Payments for Rental or lease of buildings, other structures, machinery, and equipment Total"
20460,RENT_PAY_TOT_PY,"Payments for Rental or lease of buildings, other structures, machinery, and equipment Total Prior Year"
31035,TYPE,"Survey Unit Type  su,mu"
32645,CLASS_HOIND,"Class of Customer,  Were 10 percent or more of your sales to household consumers and individual users in the past 12 months?"
34492,CLASS_HOIND_NO,"Class of Customer,  Were 10 percent or more of your sales to household consumers and individual users in the past 12 months?"
62195,CLASS_HOIND_NO_ARCHIVE,"Class of Customer,  Were 10 percent or more of your sales to household consumers and individual users in the past 12 months?"
34493,CLASS_HOIND_YES,"Class of Customer,  Were 10 percent or more of your sales to household consumers and individual users in the past 12 months?"
62197,CLASS_HOIND_YES_ARCHIVE,"Class of Customer,  Were 10 percent or more of your sales to household consumers and individual users in the past 12 months?"
92186,NAICS_MCHLRN,BEACON 6-digit from Search
32843,NC9902C_TYPOP_SELFDSG,Unclassified survey Type of Operation
32646,NC-9902C_TYPOP_SELFDSG,Type of Operation - What is the establishment's primary type of operation
34509,NC9902C_TYPOP_SELFDSG_11,Unclassified survey Type of Operation
32842,NC-9902C_TYPOP_SELFDSG_11,Importer
72383,NC9902C_TYPOP_SELFDSG_11_ARCHIVE,Unclassified survey Type of Operation
34516,NC9902C_TYPOP_SELFDSG_12,Unclassified survey Type of Operation
72385,NC9902C_TYPOP_SELFDSG_12_ARCHIVE,Unclassified survey Type of Operation
34514,NC9902C_TYPOP_SELFDSG_13,Unclassified survey Type of Operation
72387,NC9902C_TYPOP_SELFDSG_13_ARCHIVE,Unclassified survey Type of Operation
34517,NC9902C_TYPOP_SELFDSG_14,Unclassified survey Type of Operation
72389,NC9902C_TYPOP_SELFDSG_14_ARCHIVE,Unclassified survey Type of Operation
34518,NC9902C_TYPOP_SELFDSG_20,Unclassified survey Type of Operation
72391,NC9902C_TYPOP_SELFDSG_20_ARCHIVE,Unclassified survey Type of Operation
34510,NC9902C_TYPOP_SELFDSG_41,Unclassified survey Type of Operation
72393,NC9902C_TYPOP_SELFDSG_41_ARCHIVE,Unclassified survey Type of Operation
34508,NC9902C_TYPOP_SELFDSG_42,Unclassified survey Type of Operation
72395,NC9902C_TYPOP_SELFDSG_42_ARCHIVE,Unclassified survey Type of Operation
34519,NC9902C_TYPOP_SELFDSG_43,Unclassified survey Type of Operation
